Budget,Budget(USD),Box office,Box office(USD)
$1.3 million,1300000.0,$2.5 million,2500000.0
,,,
"$379,000",379000.0,$4.4 million,4400000.0
,,,
"$426,000",426000.0,"$2,421,000 (worldwide rental)",2421000.0
,,$1.3 million,1300000.0
$1 million,1000000.0,,
$1.2 million,1200000.0,$3 million (worldwide rentals),3000000.0
"$414,000",414000.0,"$1,715,000 (worldwide rentals)",1715000.0
"$318,000",318000.0,"$1,498,000",1498000.0
,,,
,,,
"$1,433,000",1433000.0,"$1,383,000",1383000.0
,,,
,,"$700,000",700000.0
,,,
$1.3 million,1300000.0,$4.2 million (worldwide rentals),4200000.0
"$750,000",750000.0,"$2,594,000",2594000.0
,,$1.25 million,1250000.0
"Under $100,000",100000.0,$1.1 million,1100000.0
"$356,000",356000.0,$1.6 million,1600000.0
"$310,000",310000.0,"$822,000",822000.0
,,,
,,$1.5 million (worldwide rentals),1500000.0
,,,
"$1,180,280",1180280.0,"['$1,004,000 (domestic rentals)', '$3.5 million (worldwide rentals)']",1004000.0
"$439,000",439000.0,$2.3 million,2300000.0
"$900,000",900000.0,$1 million (U.S. and Canada rentals),1000000.0
"$228,000",228000.0,"$1,599,000",1599000.0
"$300,000",300000.0,,
"$424,000",424000.0,"$2,070,000 (worldwide rentals)",2070000.0
"£65,000",75400.0,"£750,000",870000.0
"$200,000",200000.0,$2.2 million,2200000.0
"$851,000",851000.0,"$2,033,000",2033000.0
"$600,000",600000.0,"$1,208,000 (rentals)",1208000.0
"$325,000",325000.0,"$2,500,000 (worldwide rentals)",2500000.0
"$820,000",820000.0,"$2,343,000 (worldwide rentals)",2343000.0
"$842,908",842908.0,"$1,929,161",1929161.0
"$479,000",479000.0,"$1,533,000",1533000.0
"$520,000",520000.0,$1.8 million,1800000.0
"$263,000",263000.0,"$1,758,000",1758000.0
,,$1 million (U.S. and Canada rentals),1000000.0
,,,
,,"$2,500,000 (worldwide rentals)",2500000.0
"$231,000",231000.0,"$1,423,000 (worldwide rentals)",1423000.0
"$1,022,000",1022000.0,"$1,969,000 (worldwide rentals)",1969000.0
,,,
"$1,950,000",1950000.0,"$4,460,000 (rentals)",4460000.0
"$342,000",342000.0,"$770,000",770000.0
"$1,062,000",1062000.0,"$2,871,000",2871000.0
"$1,242,000 or $995,000",1242000.0,"$3,090,000 (worldwide rentals)",3090000.0
"$1,073,000",1073000.0,"$3,064,000 (worldwide rentals)",3064000.0
"$243,000",243000.0,"$950,000",950000.0
,,$1.5 million (worldwide rentals),1500000.0
"$981,000",981000.0,$1.229 million,1229000.0
,,,
"$782,000",782000.0,$2.1 million,2100000.0
,,,
"$609,000",609000.0,$3.2 million,3200000.0
$2.183 million,2183000.0,"$4,673,000",4673000.0
"$1,192,000",1192000.0,"$2,750,000",2750000.0
,,$1.6 million,1600000.0
"$603,000",603000.0,"$2,723,000",2723000.0
