member_casual,rideable_type,start_station_name,rides,total_rides_at_station,total_rides_at_station_by_bike_type,total_rides_by_mem_cas_bike_type,total_length_of_trip_min,total_length_of_trip_day
casual,docked_bike,Leavitt St & Addison St,129,3072,129,274440,4350.33,3.02
casual,docked_bike,Ada St & Washington Blvd,241,9216,241,274440,7951.58,5.51
casual,docked_bike,Clinton St & Lake St,438,19456,438,274440,14850.61,10.31
casual,docked_bike,Daley Center Plaza,697,19712,697,274440,33544.78,23.3
casual,docked_bike,Central Park Blvd & 5th Ave,17,257,17,274440,1308.28,0.91
casual,docked_bike,Bosworth Ave & Howard St,31,1025,31,274440,2160.2,1.5
casual,docked_bike,Monticello Ave & Irving Park Rd,85,1538,85,274440,8118.14,5.64
casual,docked_bike,Western Ave & Lunt Ave,74,1538,74,274440,6010.78,4.17
casual,docked_bike,Artesian Ave & Hubbard St,74,3586,74,274440,28942.8,20.1
casual,docked_bike,Morgan St & 31st St,165,3842,165,274440,7455.01,5.17
casual,docked_bike,Racine Ave & Congress Pkwy,185,6146,185,274440,9239.23,6.42
casual,docked_bike,Marine Dr & Ainslie St,704,8706,704,274440,45433.19,31.56
casual,docked_bike,Keystone Ave & Fullerton Ave,64,1027,64,274440,5277.12,3.66
casual,docked_bike,Emerald Ave & 31st St,164,6147,164,274440,6776.92,4.71
casual,docked_bike,Walsh Park,425,9475,425,274440,27119.83,18.84
casual,docked_bike,Halsted & 63rd - Kennedy-King Vaccination Site,19,260,19,274440,15370.32,10.67
casual,docked_bike,Paulina St & 18th St,229,4612,229,274440,23641.7,16.41
casual,docked_bike,University Ave & 57th St,460,23556,460,274440,22974.23,15.95
casual,docked_bike,Lincoln Ave & Belmont Ave (Temp),5,5,5,274440,309.55,0.21
casual,docked_bike,Ravenswood Ave & Berteau Ave,78,4101,78,274440,5469.42,3.8
casual,docked_bike,Calumet Ave & 33rd St,139,5637,139,274440,7909.08,5.49
casual,docked_bike,Clark St & Ida B Wells Dr,283,5893,283,274440,16441.25,11.42
casual,docked_bike,Clark St & Lincoln Ave,1852,32773,1852,274440,129097.0,89.66
casual,docked_bike,DuSable Museum,63,1030,63,274440,3024.19,2.1
casual,docked_bike,Lake Shore Dr & Ohio St,833,5894,833,274440,164565.13,114.28
casual,docked_bike,Racine Ave & Randolph St,205,5894,205,274440,6934.35,4.81
casual,docked_bike,Princeton Ave & 47th St,9,519,9,274440,185.11,0.13
casual,docked_bike,Austin Blvd & Lake St,45,775,45,274440,4151.29,2.88
casual,docked_bike,State St & 29th St,72,1031,72,274440,4013.72,2.79
casual,docked_bike,Dauphin Ave & 87th St,25,264,25,274440,3118.34,2.17
casual,docked_bike,Wolcott Ave & Fargo Ave,26,520,26,274440,3567.5,2.48
casual,docked_bike,St. Louis Ave & Balmoral Ave,56,1032,56,274440,10195.02,7.08
casual,docked_bike,Clark St & Touhy Ave,34,1288,34,274440,3043.3,2.11
casual,docked_bike,Sheridan Rd & Irving Park Rd,309,15880,309,274440,15465.25,10.74
casual,docked_bike,Kingsbury St & Kinzie St,629,36104,629,274440,24027.0,16.68
casual,docked_bike,Wacker Dr & Washington St,303,9481,303,274440,16160.06,11.22
casual,docked_bike,Greenwood Ave & 97th St,5,266,5,274440,1538.3,1.07
casual,docked_bike,2112 W Peterson Ave,22,1035,22,274440,1588.57,1.1
casual,docked_bike,Franklin St & Monroe St,567,14347,567,274440,26528.1,18.43
casual,docked_bike,Clark St & Chicago Ave,492,14859,492,274440,36835.49,25.59
casual,docked_bike,Smith Park,89,2572,89,274440,3478.68,2.41
casual,docked_bike,Laflin St & Cullerton St,175,2828,175,274440,10678.72,7.41
casual,docked_bike,Western Ave & Leland Ave,229,7180,229,274440,20009.02,13.9
casual,docked_bike,Southport Ave & Waveland Ave,637,19468,637,274440,34770.01,24.13
casual,docked_bike,Stony Island Ave & 90th St,35,269,35,274440,7041.4,4.89
casual,docked_bike,Chicago State University,29,781,29,274440,896.4,0.62
casual,docked_bike,Exchange Ave & 79th St,22,270,22,274440,2553.88,1.77
casual,docked_bike,May St & 69th St,4,270,4,274440,2012.67,1.4
casual,docked_bike,Wabash Ave & 16th St,269,9486,269,274440,30739.36,21.34
casual,docked_bike,LaSalle St & Jackson Blvd,522,13326,522,274440,47084.0,32.7
casual,docked_bike,Mies van der Rohe Way & Chestnut St,1388,18446,1388,274440,84527.17,58.7
casual,docked_bike,Central Ave & Madison St,8,271,8,274440,981.55,0.68
casual,docked_bike,Damen Ave & Cullerton St,119,3087,119,274440,7367.92,5.12
casual,docked_bike,University Library (NU),300,3343,300,274440,34216.24,23.76
casual,docked_bike,Cottage Grove Ave & 63rd St,77,1040,77,274440,6787.2,4.71
casual,docked_bike,Christiana Ave & Lawrence Ave,54,1808,54,274440,16940.35,11.76
